dataset,esn,unit,flight_cycle,datetime,operator,depart_icao,destination_icao,hpc_eff_mod,hpc_flow_mod,tra,t2,t24,t30,t50,p2,p15,p30,nf,nc,epr,ps30,phi,nrf,nrc,bpr,farb,htbleed,nf_dmd,pcnfr_dmd,w31,w32,airport_icao,destination_latitude,destination_longitude,depart_latitude,depart_longitude,distance_between_airport_miles,?esn,rul
test_FD001,999126,26,12,1/5/2018 17:29,AXM,VTBD,VTUV,-4.00E-04,4.00E-04,100,518.67,642.18,1588.16,1403.47,14.62,21.61,554.32,2388.03,9067.01,1.3,47.33,522.33,2388.07,8147.46,8.3946,0.03,392,2388,100,39.1,23.377,VTUV,16.117,103.774,13.914,100.606,260.4932639,999126,162
test_FD001,999126,26,13,1/6/2018 4:49,AXM,VTSP,VTBD,-0.0023,5.00E-04,100,518.67,642.81,1585.6,1393.8,14.62,21.61,554.6,2387.99,9065.86,1.3,47.44,522.34,2388.04,8149.42,8.4286,0.03,392,2388,100,38.95,23.4127,VTBD,13.914,100.606,8.113,98.309,429.9926051,999126,162
test_FD001,999126,26,14,1/6/2018 16:44,AXM,VTBD,VHHH,-0.0016,7.00E-04,100,518.67,642.1,1593.79,1396.91,14.62,21.61,553.99,2388.06,9068.61,1.3,47.27,521.95,2388.02,8151.12,8.405,0.03,393,2388,100,38.96,23.3919,VHHH,22.309,113.915,13.914,100.606,1047.939269,999126,162
test_FD001,999126,26,15,1/7/2018 17:43,AXM,VTBD,VHHH,-0.0018,2.00E-04,100,518.67,642.13,1589.31,1401.61,14.62,21.61,553.48,2388.03,9060.41,1.3,47.26,521.32,2388.03,8145.04,8.3756,0.03,391,2388,100,38.97,23.3813,VHHH,22.309,113.915,13.914,100.606,1047.939269,999126,162
test_FD001,999126,26,16,1/7/2018 18:17,AXM,VTBD,WMKK,-0.0011,5.00E-04,100,518.67,642.53,1578.82,1399.52,14.62,21.61,554.2,2388.06,9063.53,1.3,47.27,522.22,2388.02,8144.46,8.4132,0.03,394,2388,100,38.88,23.3748,WMKK,2.743,101.698,13.914,100.606,775.4295471,999126,162
test_FD001,999126,26,17,1/7/2018 21:26,AXM,WMKK,VTBD,1.00E-04,5.00E-04,100,518.67,642.27,1582.21,1400.82,14.62,21.61,554.34,2388.02,9057.42,1.3,47.35,522.27,2388,8141.5,8.4239,0.03,392,2388,100,38.81,23.3975,VTBD,13.914,100.606,2.743,101.698,775.4295471,999126,162
test_FD001,999126,26,18,1/8/2018 0:20,AXM,VTBD,VTSP,-0.0025,-3.00E-04,100,518.67,642.18,1584.53,1398.85,14.62,21.61,554.12,2388.04,9058.43,1.3,47.22,522.34,2388.07,8141.75,8.4074,0.03,392,2388,100,38.89,23.3051,VTSP,8.113,98.309,13.914,100.606,429.9926051,999126,162
test_FD001,999126,26,19,1/8/2018 3:13,AXM,VTBD,WSSS,-9.00E-04,3.00E-04,100,518.67,642.38,1585.19,1403.01,14.62,21.61,554.07,2388.04,9066.14,1.3,47.11,521.76,2388.09,8144.72,8.4026,0.03,392,2388,100,38.99,23.3975,WSSS,1.359,103.989,13.914,100.606,897.7408822,999126,162
test_FD001,999126,26,20,1/8/2018 4:24,AXM,VTBD,WSSS,6.00E-04,-2.00E-04,100,518.67,642.47,1590.47,1402.28,14.62,21.61,554.83,2387.96,9067.08,1.3,47.43,522.19,2388.02,8139.8,8.3919,0.03,393,2388,100,38.98,23.3251,WSSS,1.359,103.989,13.914,100.606,897.7408822,999126,162
test_FD001,999126,26,22,1/8/2018 19:41,AXM,VMMC,VTBD,0.0035,3.00E-04,100,518.67,642.11,1584.51,1398.33,14.62,21.61,554.39,2388.02,9068.31,1.3,47.32,522.37,2388.02,8144.67,8.4137,0.03,391,2388,100,39.12,23.3945,VTBD,13.914,100.606,22.149,113.591,1024.492969,999126,162
test_FD001,999126,26,23,1/8/2018 23:26,AXM,VTBD,VTST,-0.0012,5.00E-04,100,518.67,641.58,1587.77,1403.87,14.62,21.61,554.9,2387.99,9060.32,1.3,47.43,521.91,2388.02,8142.37,8.401,0.03,392,2388,100,38.91,23.4,VTST,7.509,99.616,13.914,100.606,447.6105276,999126,162
test_FD001,999126,26,24,1/9/2018 1:17,AXM,VTST,VTBD,7.00E-04,1.00E-04,100,518.67,642.31,1588.71,1394.77,14.62,21.61,554.65,2388.04,9062.8,1.3,47.33,521.76,2388.06,8146.57,8.3947,0.03,393,2388,100,39.03,23.5177,VTBD,13.914,100.606,7.509,99.616,447.6105276,999126,162
test_FD001,999126,26,25,1/9/2018 3:55,AXM,VTBD,VTSS,0.0019,-3.00E-04,100,518.67,641.99,1586.16,1396.56,14.62,21.61,554.22,2388.01,9058.3,1.3,47.31,522.12,2387.99,8145.4,8.4108,0.03,392,2388,100,38.99,23.3162,VTSS,6.933,100.395,13.914,100.606,482.5521438,999126,162
test_FD001,999126,26,26,1/9/2018 5:34,AXM,VTSS,VTBD,2.00E-04,-2.00E-04,100,518.67,642.71,1587.66,1402.97,14.62,21.61,554.19,2388.05,9062.86,1.3,47.15,521.37,2388.03,8144.46,8.4198,0.03,394,2388,100,38.81,23.3262,VTBD,13.914,100.606,6.933,100.395,482.5521438,999126,162
test_FD001,999126,26,27,1/9/2018 8:07,AXM,VTBD,VOTR,-0.0024,0,100,518.67,642.29,1576.63,1396.62,14.62,21.61,553.85,2388.01,9066.46,1.3,47.35,521.35,2388.03,8141.62,8.4035,0.03,391,2388,100,39.07,23.3092,VOTR,10.766,78.715,13.914,100.606,1492.874488,999126,162
test_FD001,999114,14,1,12/31/2017 21:15,AXM,VMMC,WMKK,0.0023,1.00E-04,100,518.67,642.66,1585.63,1415.87,14.62,21.61,553.49,2388.13,9034.75,1.3,47.5,521.01,2388.18,8122.18,8.4474,0.03,394,2388,100,38.77,23.3023,WMKK,2.743,101.698,22.149,113.591,1560.282915,999114,157
test_FD001,999114,14,2,1/1/2018 2:47,AXM,WMKP,WMKK,-0.0031,1.00E-04,100,518.67,642.85,1591.89,1405.96,14.62,21.61,553.45,2388.09,9037.35,1.3,47.65,521.2,2388.17,8115.33,8.449,0.03,392,2388,100,38.82,23.3449,WMKK,2.743,101.698,5.297,100.277,201.8170377,999114,157
test_FD001,999114,14,3,1/1/2018 16:33,AXM,WMKK,VMMC,9.00E-04,5.00E-04,100,518.67,643.03,1589.22,1407.19,14.62,21.61,552.99,2388.15,9031.63,1.3,47.56,521.08,2388.16,8117.65,8.4592,0.03,393,2388,100,38.94,23.2735,VMMC,22.149,113.591,2.743,101.698,1560.282915,999114,157
test_FD001,999114,14,4,1/1/2018 17:34,AXM,WMKK,WMKK,0.0028,-4.00E-04,100,518.67,642.9,1584.64,1403.72,14.62,21.61,553.16,2388.12,9040.34,1.3,47.53,521.58,2388.19,8118.45,8.4591,0.03,394,2388,100,38.79,23.3108,WMKK,2.743,101.698,2.743,101.698,0,999114,157
test_FD001,999114,14,6,1/1/2018 23:33,AXM,WMKK,VTCC,5.00E-04,-1.00E-04,100,518.67,642.68,1593.77,1409.05,14.62,21.61,552.51,2388.15,9041.85,1.3,47.46,521.91,2388.07,8115.64,8.4539,0.03,392,2388,100,38.88,23.2834,VTCC,18.771,98.963,2.743,101.698,1122.767315,999114,157
test_FD001,999114,14,7,1/2/2018 2:44,AXM,VTCC,WMKK,-7.00E-04,-5.00E-04,100,518.67,642.96,1588.25,1409.93,14.62,21.61,553.62,2388.2,9035.1,1.3,47.52,520.54,2388.18,8114.73,8.4362,0.03,394,2388,100,39,23.1876,WMKK,2.743,101.698,18.771,98.963,1122.767315,999114,157
test_FD001,999114,14,8,1/2/2018 6:15,AXM,WMKK,WMKC,-5.00E-04,1.00E-04,100,518.67,642.61,1585.86,1401.01,14.62,21.61,553.26,2388.12,9034.87,1.3,47.64,521.58,2388.2,8111.3,8.412,0.03,393,2388,100,38.9,23.3255,WMKC,6.166,102.293,2.743,101.698,240.0300062,999114,157
test_FD001,999114,14,9,1/2/2018 7:37,AXM,WMKC,WMKK,-0.0025,2.00E-04,100,518.67,642.71,1593.64,1411.96,14.62,21.61,552.9,2388.13,9033.47,1.3,47.61,521.65,2388.15,8119.6,8.4201,0.03,394,2388,100,38.74,23.2362,WMKK,2.743,101.698,6.166,102.293,240.0300062,999114,157
test_FD001,999114,14,11,1/3/2018 18:08,AXM,WMKK,VVTS,0.0026,-3.00E-04,100,518.67,642.34,1591.46,1409.49,14.62,21.61,552.84,2388.16,9033.43,1.3,47.54,521.11,2388.15,8112.19,8.4345,0.03,393,2388,100,38.94,23.3401,VVTS,10.821,106.661,2.743,101.698,653.6511927,999114,157
test_FD001,999114,14,12,1/3/2018 21:04,AXM,VVTS,WMKK,0,-3.00E-04,100,518.67,642.9,1584.18,1408.16,14.62,21.61,552.53,2388.11,9041.8,1.3,47.5,521.04,2388.14,8116.15,8.4495,0.03,392,2388,100,38.63,23.2494,WMKK,2.743,101.698,10.821,106.661,653.6511927,999114,157
test_FD001,999114,14,13,1/4/2018 7:24,AXM,WBKK,WMKK,-0.0015,-4.00E-04,100,518.67,642.98,1594.49,1410.68,14.62,21.61,552.99,2388.18,9046.86,1.3,47.58,521.48,2388.1,8121.35,8.4534,0.03,392,2388,100,38.74,23.2864,WMKK,2.743,101.698,5.945,116.053,1013.283896,999114,157
test_FD001,999114,14,14,1/4/2018 16:44,AXM,WMKK,VHHH,0.0019,-1.00E-04,100,518.67,642.49,1588.04,1409.69,14.62,21.61,553.97,2388.12,9032.93,1.3,47.47,521.12,2388.12,8121.04,8.4402,0.03,394,2388,100,38.76,23.4023,VHHH,22.309,113.915,2.743,101.698,1580.775861,999114,157
test_FD001,999114,14,15,1/4/2018 22:00,AXM,VHHH,WMKK,-8.00E-04,-2.00E-04,100,518.67,642.85,1589.43,1410.24,14.62,21.61,552.78,2388.17,9038.79,1.3,47.6,521.24,2388.15,8123.16,8.46,0.03,395,2388,100,38.73,23.3208,WMKK,2.743,101.698,22.309,113.915,1580.775861,999114,157
test_FD001,999114,14,16,1/5/2018 1:32,AXM,WMKK,VHHH,-0.0036,2.00E-04,100,518.67,642.72,1587.9,1407.33,14.62,21.61,552.54,2388.19,9038.49,1.3,47.45,521.72,2388.15,8118.39,8.427,0.03,394,2388,100,38.87,23.3774,VHHH,22.309,113.915,2.743,101.698,1580.775861,999114,157
test_FD001,999114,14,17,1/5/2018 2:49,AXM,WMKK,VHHH,2.00E-04,-1.00E-04,100,518.67,642.04,1587.17,1411.38,14.62,21.61,553.28,2388.14,9039.3,1.3,47.59,520.73,2388.18,8117.37,8.4416,0.03,393,2388,100,38.61,23.2945,VHHH,22.309,113.915,2.743,101.698,1580.775861,999114,157
test_FD001,999114,14,18,1/5/2018 17:08,AXM,WMKK,WBKW,7.00E-04,2.00E-04,100,518.67,642.54,1586.36,1410.66,14.62,21.61,553.62,2388.15,9035.36,1.3,47.67,520.95,2388.18,8118.14,8.4765,0.03,393,2388,100,38.77,23.1997,WBKW,4.313,118.122,2.743,101.698,1137.767767,999114,157
test_FD001,999114,14,19,1/5/2018 21:20,AXM,WBKW,WMKK,-0.0022,1.00E-04,100,518.67,642.97,1592.79,1402.22,14.62,21.61,553.11,2388.16,9046.84,1.3,47.63,521.33,2388.16,8119.51,8.4476,0.03,392,2388,100,38.84,23.254,WMKK,2.743,101.698,4.313,118.122,1137.767767,999114,157
test_FD001,999114,14,20,1/6/2018 0:49,AXM,WMKK,VTCC,0.0043,2.00E-04,100,518.67,642.84,1589.02,1408.16,14.62,21.61,552.86,2388.11,9041.2,1.3,47.47,520.9,2388.14,8119.25,8.4431,0.03,393,2388,100,38.83,23.3035,VTCC,18.771,98.963,2.743,101.698,1122.767315,999114,157
test_FD001,999114,14,21,1/6/2018 2:09,AXM,WMKK,VTCC,-0.0026,4.00E-04,100,518.67,642.62,1594.25,1414.01,14.62,21.61,553.62,2388.16,9040.33,1.3,47.49,520.94,2388.09,8120.8,8.449,0.03,393,2388,100,38.98,23.3165,VTCC,18.771,98.963,2.743,101.698,1122.767315,999114,157
test_FD001,999114,14,22,1/6/2018 5:29,AXM,VTCC,WMKK,-4.00E-04,-2.00E-04,100,518.67,642.74,1591.32,1405.28,14.62,21.61,554,2388.21,9040.78,1.3,47.43,521.09,2388.2,8118.83,8.4596,0.03,393,2388,100,38.84,23.232,WMKK,2.743,101.698,18.771,98.963,1122.767315,999114,157
test_FD001,999114,14,23,1/6/2018 21:26,AXM,WMKK,RCKH,8.00E-04,2.00E-04,100,518.67,642.67,1592.29,1402.81,14.62,21.61,552.48,2388.11,9053.89,1.3,47.76,521.43,2388.12,8119.7,8.4227,0.03,393,2388,100,38.83,23.2947,RCKH,22.577,120.35,2.743,101.698,1854.742134,999114,157
test_FD001,999114,14,24,1/7/2018 2:22,AXM,RCKH,WMKK,-5.00E-04,0,100,518.67,642.55,1590.97,1404.42,14.62,21.61,552.53,2388.13,9034.43,1.3,47.63,521.79,2388.14,8119.1,8.4379,0.03,393,2388,100,38.71,23.2996,WMKK,2.743,101.698,22.577,120.35,1854.742134,999114,157
test_FD001,999114,14,25,1/7/2018 19:17,AXM,VYYY,WMKK,0.0047,4.00E-04,100,518.67,642.56,1586.48,1403.99,14.62,21.61,553.32,2388.16,9040.89,1.3,47.62,521.71,2388.17,8115.83,8.4079,0.03,392,2388,100,38.85,23.2271,WMKK,2.743,101.698,16.907,96.133,1049.030194,999114,157
test_FD001,999114,14,27,1/7/2018 22:37,AXM,WMKK,VTSG,-0.0034,5.00E-04,100,518.67,642.6,1591.09,1410.61,14.62,21.61,553.05,2388.18,9038.13,1.3,47.55,521.64,2388.16,8119.81,8.4167,0.03,394,2388,100,38.65,23.1758,VTSG,8.1,98.985,2.743,101.698,414.482064,999114,157
test_FD001,999149,49,1,1/1/2018 17:24,AXM,WMKK,WBKW,-0.002,-3.00E-04,100,518.67,642.19,1587.28,1405.05,14.62,21.61,554.28,2387.99,9063.06,1.3,47.37,522.21,2388.02,8139.4,8.3809,0.03,391,2388,100,38.95,23.361,WBKW,4.313,118.122,2.743,101.698,1137.767767,999149,21
test_FD001,999149,49,2,1/1/2018 20:42,AXM,WBKW,WMKK,-3.00E-04,4.00E-04,100,518.67,642.06,1582.62,1391.77,14.62,21.61,554.22,2387.99,9057.98,1.3,47.09,522.86,2387.99,8144.25,8.4008,0.03,391,2388,100,39.08,23.4337,WMKK,2.743,101.698,4.313,118.122,1137.767767,999149,21
test_FD001,999149,49,3,1/2/2018 0:11,AXM,WMKK,WIII,-2.00E-04,-1.00E-04,100,518.67,641.74,1590.54,1404.73,14.62,21.61,554.44,2387.96,9049.47,1.3,47.27,522.3,2387.99,8139.56,8.4113,0.03,392,2388,100,39.1,23.4173,WIII,-6.124,106.661,2.743,101.698,701.8462198,999149,21
test_FD001,999149,49,4,1/2/2018 3:16,AXM,WIII,WMKK,-1.00E-04,-2.00E-04,100,518.67,642.44,1583.66,1398.72,14.62,21.61,553.92,2388.01,9062.51,1.3,47.05,522.69,2387.98,8144.68,8.407,0.03,392,2388,100,38.89,23.3802,WMKK,2.743,101.698,-6.124,106.661,701.8462198,999149,21
test_FD001,999149,49,5,1/2/2018 5:52,AXM,WMKK,WIII,0.0021,2.00E-04,100,518.67,641.91,1590.37,1404.26,14.62,21.61,554.83,2388.02,9059.25,1.3,47.1,523.13,2387.95,8141.34,8.3815,0.03,392,2388,100,39.04,23.3513,WIII,-6.124,106.661,2.743,101.698,701.8462198,999149,21
test_FD001,999149,49,6,1/2/2018 8:34,AXM,WIII,WMKK,-1.00E-04,3.00E-04,100,518.67,642.07,1594.91,1395.4,14.62,21.61,554.3,2388.03,9054.92,1.3,47.22,522.15,2387.98,8143.18,8.382,0.03,392,2388,100,38.97,23.4372,WMKK,2.743,101.698,-6.124,106.661,701.8462198,999149,21
test_FD001,999149,49,7,1/3/2018 3:35,AXM,WMKK,WBKL,0.001,3.00E-04,100,518.67,642.11,1578,1393.43,14.62,21.61,554.06,2387.98,9070.76,1.3,47.1,522.16,2387.97,8145.68,8.39,0.03,391,2388,100,39.11,23.4216,WBKL,5.302,115.248,2.743,101.698,950.4076722,999149,21
test_FD001,999149,49,8,1/3/2018 6:22,AXM,WBKL,WMKK,-0.002,2.00E-04,100,518.67,642.35,1573.73,1393.78,14.62,21.61,554.55,2388.05,9061.65,1.3,46.96,521.83,2388,8141.98,8.403,0.03,392,2388,100,39.14,23.3938,WMKK,2.743,101.698,5.302,115.248,950.4076722,999149,21
test_FD001,999149,49,9,1/4/2018 21:30,AXM,WMKK,WBGS,-0.0013,-1.00E-04,100,518.67,642,1588.32,1397.58,14.62,21.61,554.74,2388.01,9068.47,1.3,47.16,522.31,2388.05,8141.53,8.3863,0.03,391,2388,100,38.9,23.4746,WBGS,2.264,111.983,2.743,101.698,710.712029,999149,21
test_FD001,999149,49,10,1/4/2018 23:47,AXM,WBGS,WMKK,0.0029,3.00E-04,100,518.67,642.76,1579.73,1397.17,14.62,21.61,554.89,2387.98,9059.61,1.3,47.02,522.14,2388,8143.19,8.3797,0.03,392,2388,100,39.06,23.3656,WMKK,2.743,101.698,2.264,111.983,710.712029,999149,21
test_FD001,999149,49,11,1/5/2018 2:33,AXM,WMKK,WBKK,-0.0016,5.00E-04,100,518.67,641.48,1582.8,1400.83,14.62,21.61,555.16,2387.97,9054.68,1.3,47.13,522.65,2388.02,8146.72,8.4036,0.03,392,2388,100,39.07,23.3072,WBKK,5.945,116.053,2.743,101.698,1013.283896,999149,21
test_FD001,999149,49,12,1/5/2018 4:28,AXM,WBKK,WMKK,0.001,5.00E-04,100,518.67,642.28,1588.86,1397.71,14.62,21.61,554.23,2387.96,9055.62,1.3,47.3,521.95,2388.02,8145.74,8.4351,0.03,391,2388,100,39.09,23.5481,WMKK,2.743,101.698,5.945,116.053,1013.283896,999149,21
test_FD001,999149,49,13,1/5/2018 5:38,AXM,WBKK,WMKK,0.0049,1.00E-04,100,518.67,642.39,1584.6,1399,14.62,21.61,554.69,2388,9062.16,1.3,47.34,521.99,2387.99,8144.38,8.4057,0.03,393,2388,100,38.96,23.3946,WMKK,2.743,101.698,5.945,116.053,1013.283896,999149,21
test_FD001,999149,49,14,1/5/2018 7:30,AXM,WMKK,WMKP,-1.00E-04,-3.00E-04,100,518.67,642.5,1580.46,1398.79,14.62,21.61,554.58,2388.01,9057.96,1.3,47.15,522.28,2388.04,8147.73,8.356,0.03,391,2388,100,38.88,23.4957,WMKP,5.297,100.277,2.743,101.698,201.8170377,999149,21
test_FD001,999149,49,15,1/5/2018 9:02,AXM,WMKK,WMKP,-0.0039,5.00E-04,100,518.67,642.1,1586.89,1394.15,14.62,21.61,554.76,2387.97,9062.33,1.3,47.08,522.75,2388.02,8143.13,8.3502,0.03,393,2388,100,39,23.4441,WMKP,5.297,100.277,2.743,101.698,201.8170377,999149,21
test_FD001,999149,49,16,1/5/2018 9:03,AXM,WMKP,WMKK,0.0028,2.00E-04,100,518.67,642.26,1589.83,1393.73,14.62,21.61,554.6,2388,9062.42,1.3,47.04,522.2,2387.98,8142.18,8.3699,0.03,393,2388,100,38.96,23.4122,WMKK,2.743,101.698,5.297,100.277,201.8170377,999149,21
test_FD001,999149,49,17,1/5/2018 10:10,AXM,WMKP,WMKK,-0.0026,5.00E-04,100,518.67,642.27,1578.73,1394.91,14.62,21.61,555.1,2387.96,9056.23,1.3,47.21,522.57,2387.97,8143.26,8.3796,0.03,391,2388,100,39.24,23.4017,WMKK,2.743,101.698,5.297,100.277,201.8170377,999149,21
test_FD001,999149,49,18,1/5/2018 19:28,AXM,WMKK,WBGG,0.0038,-1.00E-04,100,518.67,642.14,1580.05,1397.9,14.62,21.61,554.52,2387.99,9061.56,1.3,47.23,522.3,2388.02,8145.85,8.4003,0.03,392,2388,100,39.07,23.3202,WBGG,1.485,110.345,2.743,101.698,603.32309,999149,21
test_FD001,999149,49,19,1/5/2018 20:27,AXM,WMKK,WBGG,-0.003,0,100,518.67,641.69,1587.49,1398.05,14.62,21.61,555.39,2387.97,9052.21,1.3,47.18,522.3,2388.01,8140.98,8.4023,0.03,391,2388,100,39.11,23.392,WBGG,1.485,110.345,2.743,101.698,603.32309,999149,21
test_FD001,999149,49,20,1/5/2018 23:49,AXM,WMKK,WMKC,-0.0014,-3.00E-04,100,518.67,642.45,1579.14,1403.98,14.62,21.61,554.71,2388.01,9059.04,1.3,47.19,522.45,2388.04,8138.64,8.3689,0.03,392,2388,100,39.07,23.4035,WMKC,6.166,102.293,2.743,101.698,240.0300062,999149,21
test_FD001,999149,49,21,1/6/2018 1:11,AXM,WMKK,WMKC,-0.0023,4.00E-04,100,518.67,641.94,1586.75,1403.93,14.62,21.61,554.63,2388.04,9056.59,1.3,47.14,522.49,2387.97,8143.28,8.3765,0.03,391,2388,100,39.02,23.4273,WMKC,6.166,102.293,2.743,101.698,240.0300062,999149,21
test_FD001,999149,49,22,1/6/2018 2:45,AXM,WMKC,WMKK,1.00E-04,-3.00E-04,100,518.67,642.27,1584.49,1403.33,14.62,21.61,553.55,2388.01,9054.46,1.3,47.09,522.32,2388.03,8142.85,8.3821,0.03,393,2388,100,38.9,23.4797,WMKK,2.743,101.698,6.166,102.293,240.0300062,999149,21
test_FD001,999149,49,23,1/6/2018 4:24,AXM,WMKK,WBGB,5.00E-04,3.00E-04,100,518.67,642,1589.99,1398.72,14.62,21.6,554.24,2388.02,9058.34,1.3,47.13,522.75,2387.99,8145.46,8.3634,0.03,392,2388,100,39.03,23.3879,WBGB,3.124,113.02,2.743,101.698,781.6863028,999149,21
test_FD001,999149,49,24,1/6/2018 6:49,AXM,WBGB,WMKK,-0.0023,-1.00E-04,100,518.67,642.04,1576.73,1397.18,14.62,21.61,554.39,2388,9052.74,1.3,47.22,522.25,2388.09,8140.92,8.404,0.03,391,2388,100,39.06,23.4458,WMKK,2.743,101.698,3.124,113.02,781.6863028,999149,21
test_FD001,999149,49,25,1/6/2018 19:27,AXM,WMKK,VHHH,4.00E-04,2.00E-04,100,518.67,641.84,1587.03,1394.02,14.62,21.61,554.51,2388.03,9060.9,1.3,47.24,522.84,2388,8141.51,8.346,0.03,394,2388,100,39.17,23.4543,VHHH,22.309,113.915,2.743,101.698,1580.775861,999149,21
test_FD001,999149,49,26,1/7/2018 0:19,AXM,VHHH,WMKK,-7.00E-04,0,100,518.67,641.93,1586.22,1390.54,14.62,21.61,554.48,2388.03,9059.78,1.3,47.29,522.29,2388.01,8137.46,8.36,0.03,391,2388,100,39.04,23.4113,WMKK,2.743,101.698,22.309,113.915,1580.775861,999149,21
test_FD001,999149,49,27,1/7/2018 4:38,AXM,WMKK,WBKK,0.0017,1.00E-04,100,518.67,642.26,1583.88,1395.61,14.62,21.61,554.8,2387.99,9057.86,1.3,47.22,522.09,2388.01,8146.62,8.3996,0.03,390,2388,100,39.02,23.3734,WBKK,5.945,116.053,2.743,101.698,1013.283896,999149,21
test_FD001,999140,40,1,12/31/2017 18:33,AXM,VTBD,VTUV,0.0021,3.00E-04,100,518.67,642.83,1590.31,1408.6,14.62,21.61,553.94,2388.11,9051.5,1.3,47.53,521.75,2388.12,8136.06,8.4849,0.03,393,2388,100,38.7,23.3795,VTUV,16.117,103.774,13.914,100.606,260.4932639,999140,28
test_FD001,999140,40,2,12/31/2017 19:59,AXM,VTUV,VTBD,-9.00E-04,-4.00E-04,100,518.67,642.74,1598.86,1405.51,14.62,21.61,552.49,2388.12,9049.59,1.3,47.56,520.98,2388.13,8131.67,8.425,0.03,394,2388,100,38.73,23.2761,VTBD,13.914,100.606,16.117,103.774,260.4932639,999140,28
